DIVISION,DISTRICT,INSTITUTE_NAME,TYP_ID,MANAGEMENT,TYP,EDU_LEVEL,STUD_TYP,MPO,AREA,GEOGRPY,SECURITY_GUARD,HAVING_COMP_LAB,HAVING_ELECTRICITY,HAVING_SOLAR_PANEL,NUMBER_OF_MULTIMEDIA,TOTAL_COMPUTER,CC_CAMERA_NUM,INTERNET_YN,COMP_LAB_DAILY_USE_HR,TOTAL_LAB_COMPUTER,SSC_TOT_APP,SSC_TOT_PASS,CLASS_ROOM,CLASS_ROOM_MULTIMEDIA,PACKA,TOT_STU,FEM_STU,TOT_TEACHER,FEM_TEACHER,CAPEX,OPEX
Dhaka,Dhaka,ANANDA NAGAR ADARSHA VIDYALAY,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,No,NO,NO,0,0,NO,NO,0,0,267,240,15,YES,2,681,369,15,6,1500000,5400000
Chattogram,Cumilla,SHASHAIYA D. M HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,2,2,NO,YES,0,0,89,72,5,NO,0,543,307,11,3,620000,3961000
Chattogram,Cumilla,SHASHAIYA D. M HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,2,2,NO,YES,0,0,89,72,5,NO,0,543,307,11,3,620000,3961000
Chattogram,Cumilla,LUDIARA JAHIR AHMAED GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,NO,No,NO,NO,0,0,NO,YES,0,0,33,31,5,NO,3,255,255,10,2,500000,3600000
Chattogram,Cumilla,LUDIARA JAHIR AHMAED GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,NO,No,NO,NO,0,0,NO,YES,0,0,33,31,5,NO,3,255,255,10,2,500000,3600000
Chattogram,Cumilla,MALIGAON ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,0,NO,YES,0,0,91,54,5,NO,0,591,332,15,5,500000,5400000
Chattogram,Cumilla,JAMUA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,1,NO,YES,2,0,103,84,8,NO,5,663,366,15,4,860000,5400500
Chattogram,Cumilla,BAROI GAON GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,2,NO,YES,0,0,89,67,8,YES,3,529,529,12,3,920000,4321000
Chattogram,Cumilla,NABIA BAD HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,Yes,YES,YES,1,9,NO,YES,1,11,131,101,10,YES,5,724,363,13,3,1540000,4684500
Dhaka,Dhaka,PURBA RUMPARA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,NO,Yes,YES,NO,4,2,NO,YES,4,11,93,91,9,YES,0,908,458,26,18,1020000,9361000
Dhaka,Dhaka,BANGSHAL GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,NO,Yes,YES,NO,1,2,YES,YES,2,3,52,46,10,YES,2,307,307,10,9,1120000,3601000
Chattogram,Cumilla,MOHAMMADPUR RAHAT ALI BHUIYAN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,1,NO,YES,0,0,88,45,7,NO,0,509,298,9,3,760000,3240500
Chattogram,Cumilla,MOHAMMADPUR RAHAT ALI BHUIYAN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,1,NO,YES,0,0,88,45,7,NO,0,509,298,9,3,760000,3240500
Dhaka,Dhaka,BAID GAON HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,0,NO,YES,0,0,409,315,8,NO,0,"1,181",571,10,0,800000,3600000
Dhaka,Dhaka,TALEPUR ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,3,NO,YES,1,0,143,120,17,NO,0,928,436,22,5,1880000,7921500
Dhaka,Dhaka,TALEPUR ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,3,NO,YES,1,0,143,120,17,NO,0,928,436,22,5,1880000,7921500
Dhaka,Dhaka,WAZUDDIN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,NO,Yes,YES,NO,2,8,YES,YES,3,10,315,242,21,YES,3,870,485,22,9,2580000,7924000
Chattogram,Cumilla,BHAKADDA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,YES,1,0,NO,NO,3,10,112,59,10,YES,0,605,389,6,2,1000000,2160000
Chattogram,Cumilla,COMILLA CANTONMENT HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,OTHER MUNICIPALITY AREA,PLAIN LAND,YES,Yes,YES,NO,2,15,NO,YES,2,12,137,137,25,YES,3,809,,27,8,3400000,9727500
Chattogram,Cumilla,COMILLA CANTONMENT HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,OTHER MUNICIPALITY AREA,PLAIN LAND,YES,Yes,YES,NO,2,15,NO,YES,2,12,137,137,25,YES,3,809,,27,8,3400000,9727500
Dhaka,Dhaka,MELENG HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,1,NO,NO,0,0,107,83,12,NO,0,561,290,13,2,1260000,4680500
Chattogram,Cumilla,MADHAIA BAZAR SADIM HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,YES,1,6,NO,YES,3,5,245,207,14,YES,0,"1,282",732,19,0,1760000,6843000
Chattogram,Cumilla,KADUTI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,Yes,YES,NO,2,7,NO,YES,2,10,164,148,12,YES,0,"1,044",591,19,5,1620000,6843500
Dhaka,Dhaka,ALIM UDDIN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,4,0,NO,YES,8,13,150,141,26,YES,2,"1,286",727,30,13,2600000,10800000
Dhaka,Dhaka,ALIM UDDIN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,4,0,NO,YES,8,13,150,141,26,YES,2,"1,286",727,30,13,2600000,10800000
Dhaka,Dhaka,NAZRUL SHIKSHALAYA,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,3,43,YES,YES,6,38,59,59,20,NO,2,604,295,19,12,4580000,6861500
Dhaka,Dhaka,HOLY CROSS GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,NO,CityCorp,PLAIN LAND,YES,Yes,YES,NO,2,32,YES,YES,7,30,236,236,21,YES,1,"1,572",,17,17,4020000,6136000
Chattogram,Cumilla,BARAIR HAZI CHERAG ALI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,1,NO,YES,0,0,104,93,1,YES,0,745,434,12,3,160000,4320500
Dhaka,Dhaka,BADDA GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,NO,Yes,YES,NO,1,1,YES,YES,4,11,109,107,19,YES,0,766,766,26,0,1960000,9360500
Chattogram,Cumilla,GANGER KOT HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,2,0,NO,YES,2,18,84,58,12,YES,0,641,385,11,2,1200000,3960000
Chattogram,Cumilla,RAZAR KHOLA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,HILLY AREA,NO,Yes,YES,YES,1,3,NO,YES,2,2,37,22,8,YES,1,480,296,10,2,980000,3601500
Chattogram,Cumilla,DHAMGAR ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,1,NO,YES,3,0,98,72,6,YES,0,401,223,13,5,660000,4680500
Chattogram,Cumilla,DHAMGAR ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,1,NO,YES,3,0,98,72,6,YES,0,401,223,13,5,660000,4680500
Chattogram,Cumilla,CHANDANAIL MADHAMIK BIDDALAY,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,Yes,YES,YES,1,11,NO,YES,0,11,82,43,10,YES,1,560,346,7,1,1660000,2525500
Dhaka,Dhaka,TRINTY HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,NO,No,YES,NO,0,1,NO,YES,0,0,248,130,5,NO,1,220,93,6,1,560000,2160500
Dhaka,Dhaka,TRINTY HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,NO,No,YES,NO,0,1,NO,YES,0,0,248,130,5,NO,1,220,93,6,1,560000,2160500
Chattogram,Cumilla,METONGGHAR BARRISTER RAFIQUL ISLAM MIA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,2,0,NO,YES,0,13,207,101,10,YES,1,932,535,14,4,1000000,5040000
Chattogram,Cumilla,METONGGHAR BARRISTER RAFIQUL ISLAM MIA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,2,0,NO,YES,0,13,207,101,10,YES,1,932,535,14,4,1000000,5040000
Dhaka,Dhaka,ARMED POLIC BATTALION HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,NO,No,NO,NO,0,0,NO,NO,0,0,35,35,5,,0,454,217,20,11,500000,7200000
Dhaka,Dhaka,AGARGAON ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,1,0,NO,YES,4,14,232,179,5,YES,0,"1,262",652,22,0,500000,7920000
Dhaka,Dhaka,AGARGAON ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,1,0,NO,YES,4,14,232,179,5,YES,0,"1,262",652,22,0,500000,7920000
Dhaka,Dhaka,GOVT. SHAHEED MONU MIAH HIGH SCHOOL,1,GOVERNMENT,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,No,YES,NO,1,4,NO,YES,1,0,129,76,14,YES,2,469,262,6,3,1640000,2162000
Chattogram,Cumilla,DAULATPUR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,2,0,NO,YES,3,5,56,49,7,YES,1,453,270,9,2,700000,3240000
Chattogram,Cumilla,DAULATPUR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,2,0,NO,YES,3,5,56,49,7,YES,1,453,270,9,2,700000,3240000
Chattogram,Cumilla,NORPATI ML. HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,2,5,NO,YES,0,0,141,114,14,YES,3,"1,171",729,13,2,1700000,4682500
Chattogram,Cumilla,PERPETY HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,YES,3,0,NO,NO,3,20,97,92,7,YES,1,485,275,9,1,700000,3240000
Chattogram,Cumilla,PERPETY HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,YES,3,0,NO,NO,3,20,97,92,7,YES,1,485,275,9,1,700000,3240000
Dhaka,Dhaka,PURBA JURAIN ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,1,14,YES,YES,8,14,204,164,15,YES,2,567,316,10,6,2340000,3607000
Chattogram,Cumilla,KAZIATAL RAHIM RAHMAN MOLLA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,2,0,NO,YES,0,0,121,73,10,YES,0,626,386,8,2,1000000,2880000
Chattogram,Cumilla,KAZIATAL RAHIM RAHMAN MOLLA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,2,0,NO,YES,0,0,121,73,10,YES,0,626,386,8,2,1000000,2880000
Dhaka,Dhaka,NEW MODEL MULTILATERAL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,2,4,YES,YES,5,12,138,128,22,YES,5,"1,056",393,21,11,2440000,7562000
Dhaka,Dhaka,MURADPUR SAMIRAN NESSA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,1,0,NO,YES,3,12,134,95,24,YES,2,"1,201",688,36,15,2400000,12960000
Chattogram,Cumilla,JAGATPUR GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,NO, RURAL,PLAIN LAND,YES,No,YES,NO,0,0,NO,NO,0,0,31,27,5,NO,0,309,309,8,3,500000,2880000
Chattogram,Cumilla,JAGATPUR GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,NO, RURAL,PLAIN LAND,YES,No,YES,NO,0,0,NO,NO,0,0,31,27,5,NO,0,309,309,8,3,500000,2880000
Chattogram,Cumilla,DURLOVPUR MODEL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,DISTRICT SADAR MUNICIPALITY,PLAIN LAND,NO,Yes,YES,YES,1,5,YES,YES,3,18,37,35,9,YES,3,320,159,8,3,1200000,2882500
Chattogram,Cumilla,BAZGADRA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,NO,No,YES,NO,0,0,YES,YES,0,1,28,10,5,YES,1,173,173,5,0,500000,1800000
Chattogram,Cumilla,BAZGADRA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,NO,No,YES,NO,0,0,YES,YES,0,1,28,10,5,YES,1,173,173,5,0,500000,1800000
Chattogram,Cumilla,KHONDAKER KABIR UDDIN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,1,NO,YES,0,0,63,34,9,YES,1,403,220,6,2,960000,2160500
Chattogram,Cumilla,TETABHUMI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,NO,1,4,NO,YES,0,0,108,60,9,NO,2,594,333,9,2,1140000,3242000
Chattogram,Cumilla,TETABHUMI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,NO,1,4,NO,YES,0,0,108,60,9,NO,2,594,333,9,2,1140000,3242000
Chattogram,Cumilla,MOHAMMADPUR A. R HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,3,NO,YES,0,0,184,97,15,YES,1,841,431,15,3,1680000,5401500
Chattogram,Cumilla,SUDRA TAYAB ALI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,YES,3,19,NO,YES,3,17,53,49,7,YES,6,463,260,8,1,1840000,2889500
Chattogram,Cumilla,SUDRA TAYAB ALI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,YES,3,19,NO,YES,3,17,53,49,7,YES,6,463,260,8,1,1840000,2889500
Chattogram,Cumilla,"COMILLA HIGH SCHOOL, COMILLA",1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,NO,NO,0,0,NO,NO,8,20,675,628,5,NO,5,"3,718","1,804",55,21,500000,19800000
Chattogram,Cumilla,KAMLAPUR GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,2,YES,YES,0,0,52,52,9,NO,2,338,338,15,5,1020000,5401000
Dhaka,Dhaka,SHAHEED ABU TALEB HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,2,7,NO,YES,1,10,84,82,38,YES,2,825,365,20,15,4220000,7203500
Dhaka,Dhaka,NARISHA GIRL'S HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,0,NO,YES,3,0,63,49,13,NO,4,398,398,10,3,1300000,3600000
Dhaka,Dhaka,NARISHA GIRL'S HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,0,NO,YES,3,0,63,49,13,NO,4,398,398,10,3,1300000,3600000
Dhaka,Dhaka,SHANTIBAG HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,1,2,NO,YES,4,15,82,73,5,YES,0,762,366,17,10,620000,6121000
Dhaka,Dhaka,CHURAIN  TARINI  BAMA  HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,BOYS,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,4,14,NO,YES,8,11,99,77,16,YES,4,456,0,11,1,2440000,3967000
Dhaka,Dhaka,CHURAIN  TARINI  BAMA  HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,BOYS,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,4,14,NO,YES,8,11,99,77,16,YES,4,456,0,11,1,2440000,3967000
Chattogram,Cumilla,TULATOLI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,NO,1,1,NO,NO,3,0,124,109,13,YES,3,"1,135",753,11,2,1360000,3960500
Chattogram,Cumilla,BORDER GUARD PUBLIC SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,YES,Yes,YES,NO,1,19,NO,YES,4,16,37,37,18,YES,1,496,193,15,8,2940000,5409500
Chattogram,Cumilla,BORDER GUARD PUBLIC SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,YES,Yes,YES,NO,1,19,NO,YES,4,16,37,37,18,YES,1,496,193,15,8,2940000,5409500
Dhaka,Dhaka,ALHAJ ABDUR RAZZAK ISLAMIA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,No,YES,NO,1,1,NO,YES,1,0,198,148,5,YES,1,998,515,7,0,560000,2520500
Chattogram,Cumilla,A.M.F. HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,2,4,NO,YES,4,0,113,105,12,YES,2,765,387,17,4,1440000,6122000
Chattogram,Cumilla,A.M.F. HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,2,4,NO,YES,4,0,113,105,12,YES,2,765,387,17,4,1440000,6122000
Chattogram,Cumilla,CHOTO SHARIFPUR MULT. HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,YES,2,2,NO,YES,0,0,168,158,5,NO,3,783,421,14,6,620000,5041000
Dhaka,Dhaka,BANGAMATA SHEIKH FAZILATUNNESA MUJIB GOVT. SECONDARY SCHOOL,1,GOVERNMENT,School,Secondary ,CO-EDUCATION JOINT,NOT APPLICABLE,CityCorp,PLAIN LAND,YES,Yes,YES,YES,16,50,YES,YES,2,30,137,135,4,YES,0,731,364,16,3,3400000,5785000
Dhaka,Dhaka,DAKKHIN MUSENDI GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,YES,No,YES,YES,3,4,YES,YES,0,0,113,90,14,YES,2,492,492,17,7,1640000,6122000
Chattogram,Cumilla,DHALUA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,1,17,NO,YES,1,17,253,231,13,NO,4,"1,559",894,11,2,2320000,3968500
Chattogram,Cumilla,DHALUA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,1,17,NO,YES,1,17,253,231,13,NO,4,"1,559",894,11,2,2320000,3968500
Dhaka,Dhaka,HAZI ABDUL AWAL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,YES,Yes,YES,NO,1,5,NO,YES,2,21,478,390,8,YES,2,452,273,10,0,1100000,3602500
Dhaka,Dhaka,HALIM FOUNDATION MODEL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,1,13,YES,YES,2,11,140,112,13,YES,1,277,125,13,8,2080000,4686500
Dhaka,Dhaka,KALMA WAZ ALI MODEL SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO, RURAL,PLAIN LAND,YES,No,YES,NO,1,2,NO,YES,1,0,205,190,11,NO,0,"1,018",483,12,3,1220000,4321000
Dhaka,Dhaka,HAZI ASRAF ALI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,10,2,YES,YES,2,15,277,226,20,YES,3,"1,552",785,59,34,2120000,21241000
