Program,Year,Period,Week Ending,Geo Level,State,State ANSI,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Price
SURVEY,1996,YEAR,,STATE,MISSOURI,29.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2540000.00
SURVEY,1989,YEAR,,STATE,NEW YORK,36.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,53010000.00
SURVEY,1956,YEAR,,STATE,KANSAS,20.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,22525000.00
SURVEY,1918,YEAR,,STATE,MICHIGAN,26.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1650000.00
SURVEY,1980,YEAR,,STATE,PENNSYLVANIA,42.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,96000000.00
SURVEY,1925,YEAR,,STATE,WYOMING,56.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1832000.00
SURVEY,1988,YEAR,,STATE,OKLAHOMA,40.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13000.00
SURVEY,1995,YEAR,,STATE,TENNESSEE,47.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,63720000.00
SURVEY,1925,YEAR,,STATE,WEST VIRGINIA,54.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,469000.00
SURVEY,1935,YEAR,,STATE,ALABAMA,1.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3688000.00
SURVEY,1968,YEAR,,STATE,MONTANA,30.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,15.00
SURVEY,2012,YEAR - NOV FORECAST,,STATE,NORTH DAKOTA,38.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,406800000.00
SURVEY,1902,YEAR,,STATE,VERMONT,50.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,2288000.00
SURVEY,1908,YEAR,,STATE,UTAH,49.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,220000.00
SURVEY,1942,YEAR,,STATE,ARIZONA,4.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,25000.00
SURVEY,1967,YEAR,,STATE,IDAHO,16.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.00
SURVEY,1980,YEAR,,STATE,OKLAHOMA,40.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,75000.00
SURVEY,1956,YEAR,,STATE,KENTUCKY,21.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,10.50
SURVEY,1966,YEAR,,STATE,IDAHO,16.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17.00
SURVEY,1973,YEAR,,STATE,SOUTH CAROLINA,45.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,24940000.00
SURVEY,1941,YEAR,,STATE,NEVADA,32.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,56000.00
SURVEY,1871,YEAR,,STATE,KANSAS,20.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,860000.00
SURVEY,1955,YEAR,,STATE,KENTUCKY,21.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,9.00
SURVEY,1904,YEAR,,STATE,TEXAS,48.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4830000.00
SURVEY,1866,YEAR,,STATE,MISSISSIPPI,28.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,7600000.00
SURVEY,1972,YEAR,,STATE,ARKANSAS,5.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,10.00
SURVEY,1976,YEAR,,STATE,INDIANA,18.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17.50
SURVEY,1984,YEAR,,STATE,ALABAMA,1.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,42000.00
SURVEY,1996,YEAR,,STATE,SOUTH DAKOTA,46.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3650000.00
SURVEY,1934,YEAR,,STATE,CALIFORNIA,6.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1443000.00
SURVEY,2013,YEAR - AUG FORECAST,,STATE,NORTH CAROLINA,37.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,880000.00
SURVEY,1992,YEAR,,STATE,MASSACHUSETTS,25.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.50
SURVEY,1936,YEAR,,STATE,OHIO,39.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,7.50
SURVEY,1888,YEAR,,STATE,NEW YORK,36.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,22630000.00
SURVEY,1991,YEAR,,STATE,SOUTH CAROLINA,45.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,10.00
SURVEY,1919,YEAR,,STATE,ILLINOIS,17.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,300000.00
SURVEY,1934,YEAR,,STATE,INDIANA,18.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3725000.00
SURVEY,1985,YEAR,,STATE,MISSISSIPPI,28.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,7820000.00
SURVEY,2014,YEAR - NOV FORECAST,,STATE,WASHINGTON,53.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,24725000.00
SURVEY,1990,YEAR,,STATE,TEXAS,48.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,13.00
SURVEY,1965,YEAR,,STATE,NEW MEXICO,35.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,15000.00
SURVEY,2012,YEAR,,STATE,WASHINGTON,53.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,25.00
SURVEY,1933,YEAR,,STATE,NEW YORK,36.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,9.00
SURVEY,1977,YEAR,,STATE,TEXAS,48.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,161700000.00
SURVEY,1976,YEAR,,STATE,MISSISSIPPI,28.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,60000.00
SURVEY,1960,YEAR,,STATE,LOUISIANA,22.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,338000.00
SURVEY,1996,YEAR,,STATE,NORTH CAROLINA,37.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,13.00
SURVEY,1983,YEAR,,STATE,COLORADO,8.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,74420000.00
SURVEY,1931,YEAR,,STATE,WASHINGTON,53.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,13000.00
SURVEY,1955,YEAR,,STATE,MASSACHUSETTS,25.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,10.00
SURVEY,1882,YEAR,,STATE,NEBRASKA,31.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2460000.00
SURVEY,2011,YEAR,,STATE,MINNESOTA,27.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7700000.00
SURVEY,1874,YEAR,,STATE,CONNECTICUT,9.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1704000.00
SURVEY,1916,YEAR,,STATE,TEXAS,48.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,89300000.00
SURVEY,1931,YEAR,,STATE,RHODE ISLAND,44.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,9.50
SURVEY,1961,YEAR,,STATE,MISSOURI,29.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,114000.00
SURVEY,1921,YEAR,,STATE,MISSOURI,29.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,5.70
SURVEY,1939,YEAR,,STATE,MARYLAND,24.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,463000.00
SURVEY,1946,YEAR,,STATE,MONTANA,30.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,273000.00
SURVEY,1910,YEAR,,STATE,OREGON,41.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,35000.00
SURVEY,1899,YEAR,,STATE,MICHIGAN,26.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1540000.00
SURVEY,2013,YEAR - SEP FORECAST,,STATE,MISSISSIPPI,28.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,900000.00
SURVEY,2014,YEAR - AUG FORECAST,,STATE,CALIFORNIA,6.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,110000.00
SURVEY,1927,YEAR,,STATE,GEORGIA,13.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7000.00
SURVEY,1952,YEAR,,STATE,CALIFORNIA,6.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,39000.00
SURVEY,1985,YEAR,,STATE,NORTH CAROLINA,37.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,146000.00
SURVEY,1981,YEAR,,STATE,NORTH CAROLINA,37.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14.50
SURVEY,1927,YEAR,,STATE,LOUISIANA,22.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,18240000.00
SURVEY,1942,YEAR,,STATE,NEVADA,32.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,9.00
SURVEY,1875,YEAR,,STATE,IOWA,19.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4600000.00
SURVEY,1950,YEAR,,STATE,KANSAS,20.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,66000.00
SURVEY,1947,YEAR,,STATE,NEW HAMPSHIRE,33.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,11.00
SURVEY,1983,YEAR,,STATE,TEXAS,48.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1080000.00
SURVEY,1993,YEAR,,STATE,INDIANA,18.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,712800000.00
SURVEY,1989,YEAR,,STATE,MICHIGAN,26.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,300000.00
SURVEY,1870,YEAR,,STATE,FLORIDA,12.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,225000.00
SURVEY,1943,YEAR,,STATE,NEW JERSEY,34.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,54000.00
SURVEY,1881,YEAR,,STATE,RHODE ISLAND,44.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,336000.00
SURVEY,2000,YEAR,,STATE,ARKANSAS,5.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,175000.00
SURVEY,1977,YEAR,,STATE,VERMONT,50.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,12.50
SURVEY,1922,YEAR,,STATE,ILLINOIS,17.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,7.20
SURVEY,1930,YEAR,,STATE,NEW YORK,36.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,346000.00
SURVEY,1907,YEAR,,STATE,IOWA,19.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,339500000.00
SURVEY,1961,YEAR,,STATE,MINNESOTA,27.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,324242000.00
SURVEY,1974,YEAR,,STATE,NEW JERSEY,34.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,7221000.00
SURVEY,1872,YEAR,,STATE,ILLINOIS,17.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,273028000.00
SURVEY,1979,YEAR,,STATE,COLORADO,8.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,240000.00
SURVEY,1939,YEAR,,STATE,TENNESSEE,47.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,55198000.00
SURVEY,1972,YEAR,,STATE,MISSOURI,29.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,227500000.00
SURVEY,2004,YEAR,,STATE,GEORGIA,13.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,45000.00
SURVEY,2007,YEAR,,STATE,SOUTH DAKOTA,46.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,4480000.00
SURVEY,1902,YEAR,,STATE,CALIFORNIA,6.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,64000.00
SURVEY,1897,YEAR,,STATE,MASSACHUSETTS,25.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,1904000.00
SURVEY,1967,YEAR,,STATE,CALIFORNIA,6.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,102000.00
SURVEY,1970,YEAR,,STATE,MASSACHUSETTS,25.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.50
SURVEY,1967,YEAR,,STATE,MASSACHUSETTS,25.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.50
SURVEY,1978,YEAR,,STATE,NEW MEXICO,35.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,15.00
SURVEY,1911,YEAR,,STATE,MICHIGAN,26.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,54400000.00
SURVEY,1987,YEAR,,STATE,NEW YORK,36.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,530000.00
SURVEY,2012,YEAR - NOV FORECAST,,STATE,KENTUCKY,21.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,104720000.00
SURVEY,1975,YEAR,,STATE,VIRGINIA,51.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,565000.00
SURVEY,1950,YEAR,,STATE,NEW MEXICO,35.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5000.00
SURVEY,1991,YEAR,,STATE,DELAWARE,10.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,17914000.00
SURVEY,1964,YEAR,,STATE,FLORIDA,12.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,11.00
SURVEY,1964,YEAR,,STATE,MISSISSIPPI,28.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,23826000.00
SURVEY,1957,YEAR,,STATE,VIRGINIA,51.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,16642000.00
SURVEY,1971,YEAR,,STATE,MONTANA,30.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7000.00
SURVEY,1895,YEAR,,STATE,VIRGINIA,51.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,1980000.00
SURVEY,1896,YEAR,,STATE,TEXAS,48.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3860000.00
SURVEY,1892,YEAR,,STATE,ARKANSAS,5.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,34380000.00
SURVEY,1975,YEAR,,STATE,IDAHO,16.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,33000.00
SURVEY,1914,YEAR,,STATE,NEBRASKA,31.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,180075000.00
SURVEY,1930,YEAR,,STATE,NEW JERSEY,34.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,4760000.00
SURVEY,2009,YEAR,,STATE,MARYLAND,24.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,40000.00
SURVEY,1939,YEAR,,STATE,VERMONT,50.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,57000.00
SURVEY,1968,YEAR,,STATE,OREGON,41.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.00
SURVEY,1912,YEAR,,STATE,NEBRASKA,31.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,7500000.00
SURVEY,1886,YEAR,,STATE,MISSISSIPPI,28.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,21450000.00
SURVEY,2014,YEAR,,STATE,NORTH CAROLINA,37.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,780000.00
SURVEY,1944,YEAR,,STATE,RHODE ISLAND,44.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,37000.00
SURVEY,1984,YEAR,,STATE,TENNESSEE,47.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,690000.00
SURVEY,1943,YEAR,,STATE,MICHIGAN,26.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,280000.00
SURVEY,1951,YEAR,,STATE,TENNESSEE,47.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,7.50
SURVEY,2009,YEAR,,STATE,DELAWARE,10.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,163000.00
SURVEY,1871,YEAR,,STATE,MISSOURI,29.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,105790000.00
SURVEY,2002,YEAR,,STATE,NORTH CAROLINA,37.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,56440000.00
SURVEY,1983,YEAR,,STATE,IOWA,19.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,520000.00
SURVEY,1921,YEAR,,STATE,PENNSYLVANIA,42.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,57199000.00
SURVEY,1947,YEAR,,STATE,FLORIDA,12.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,5904000.00
SURVEY,1954,YEAR,,STATE,CALIFORNIA,6.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,103000.00
SURVEY,1883,YEAR,,STATE,OHIO,39.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,3050000.00
SURVEY,1924,YEAR,,STATE,MASSACHUSETTS,25.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,10000.00
SURVEY,2001,YEAR,,STATE,MICHIGAN,26.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,13.00
SURVEY,1905,YEAR,,STATE,MINNESOTA,27.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,65960000.00
SURVEY,1955,YEAR,,STATE,WISCONSIN,55.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,9.40
SURVEY,2006,YEAR,,STATE,KANSAS,20.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,345000000.00
SURVEY,1969,YEAR,,STATE,TEXAS,48.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14.50
SURVEY,1948,YEAR,,STATE,DELAWARE,10.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,122000.00
SURVEY,1950,YEAR,,STATE,ALABAMA,1.00,0,,CORN,"CORN, SILAGE - ACRES HARVESTED",TOTAL,NOT SPECIFIED,5000.00
SURVEY,1963,YEAR,,STATE,MISSOURI,29.00,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,188978000.00
SURVEY,1942,YEAR,,STATE,MISSISSIPPI,28.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,2778000.00
SURVEY,1937,YEAR,,STATE,MICHIGAN,26.00,0,,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,7.80
SURVEY,1927,YEAR,,STATE,NEW YORK,36.00,0,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,125000.00
