,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
79,4.9,2012-05-02,-73.986989,40.7208,-73.976607,40.722857,1
80,11.0,2015-05-28,-73.96671295,40.80403519,-73.93840027,40.79726791,1
81,3.5,2015-05-21,-73.97534943,40.752491,-73.97386169,40.74888992,2
82,26.1,2012-06-24,-73.976132,40.744211,-73.90495,40.876687,2
83,8.1,2010-10-16,-73.982543,40.731653,-73.954875,40.768787,5
84,49.57,2009-08-07,-73.975058,40.78882,-73.975058,40.78882,1
85,7.7,2010-09-08,-73.987383,40.721255,-73.954733,40.730683,1
86,5.3,2012-04-05,-73.971503,40.760135,-73.961437,40.768975,1
87,4.5,2010-09-22,-73.98192,40.761172,-74.016152,40.704765,1
88,7.3,2010-01-23,-74.008325,40.725947,-73.988232,40.720322,1
89,6.5,2013-02-15,-73.992605,40.733957,-73.980698,40.742135,1
90,5.3,2012-08-12,-73.986465,40.755052,-73.996115,40.744817,3
91,9.3,2010-03-12,-73.95771,40.765555,-73.970059,40.762758,1
92,6.1,2011-12-02,0.0,0.0,0.0,0.0,1
93,3.7,2009-04-14,-73.976459,40.744077,-73.983699,40.734203,1
94,4.0,2014-04-27,-73.950582,40.786452,-73.9575,40.776686,1
95,9.5,2015-04-11,-73.9784317,40.75239944,-74.00042725,40.74211884,1
96,4.5,2011-10-03,-73.990055,40.756413,-73.983047,40.756727,3
97,3.3,2010-04-26,-73.982326,40.731314,-73.989649,40.734398,1
98,30.9,2011-11-18,-73.995888,40.759078,-73.865005,40.770452,1
99,26.9,2009-08-30,-73.990137,40.756007,-73.929361,40.774553,1
100,9.0,2014-02-19,-73.95828,40.7689,-73.97351,40.782907,5
101,4.1,2011-02-20,-73.977633,40.753166,-73.981589,40.757359,1
102,14.9,2011-02-04,-73.962218,40.640218,-73.968043,40.640505,1
103,6.5,2009-07-31,-74.000545,40.737462,-74.009545,40.713217,5
104,43.0,2015-05-15,-73.86270142,40.76895905,-73.9990921,40.74182892,2
105,8.0,2012-12-04,-73.984463,40.742792,-73.97735,40.761375,5
106,6.0,2015-04-21,-73.95018768,40.7192955,-73.94046021,40.72421265,1
107,4.0,2013-05-03,-73.988752,40.758687,-73.98508,40.773772,1
108,3.7,2010-03-30,-73.984218,40.732007,-73.979443,40.727617,5
109,10.1,2012-03-07,-73.99268,40.768321,-74.00233,40.746864,2
110,18.0,2015-01-30,-73.95474243,40.68746948,-73.98821259,40.73051071,1
111,5.7,2009-02-04,-73.988433,40.737176,-73.981018,40.747329,1
112,6.5,2012-06-10,-73.964187,40.757303,-73.983382,40.743835,1
113,35.3,2009-05-15,-73.776743,40.645374,-73.913408,40.745943,1
114,6.1,2012-07-19,-73.997893,40.735897,-74.006543,40.746245,5
115,4.9,2011-06-19,-73.985758,40.753255,-73.98142,40.746513,1
116,6.1,2011-07-22,-73.9956,40.754782,-74.002493,40.734401,1
117,10.0,2013-02-25,-73.976022,40.76004,-73.982853,40.74504,1
118,10.5,2014-06-15,-73.988604,40.778445,-73.994931,40.749954,1
119,8.9,2012-04-25,-73.997975,40.720503,-74.001847,40.737797,1
120,6.5,2010-08-20,0.0,0.0,0.0,0.0,1
121,13.0,2013-03-28,-74.006395,40.749657,-73.978468,40.753897,5
122,6.9,2012-01-25,-73.990318,40.737122,-73.97627,40.744955,1
123,9.7,2009-11-02,-73.982613,40.771843,-73.978862,40.754318,2
124,10.1,2009-09-12,-73.980253,40.765255,-73.974253,40.731925,2
125,9.7,2011-07-06,-73.954797,40.767289,-73.974788,40.754888,1
126,5.3,2010-09-21,-73.956158,40.781593,-73.966138,40.773645,1
127,5.7,2010-01-14,-73.991201,40.750336,-73.977786,40.75239,1
128,7.5,2014-11-10,-73.975132,40.73302,-73.977113,40.752058,1
129,10.5,2010-09-10,-73.995627,40.749295,-73.965087,40.77161,1
130,6.1,2010-11-24,-73.985523,40.760627,-73.989185,40.774452,1
131,6.5,2015-04-04,-74.00299072,40.73112869,-74.00541687,40.74004364,1
132,7.7,2009-01-04,-73.962497,40.76308,-73.98472,40.736343,1
133,6.9,2010-03-20,0.0,0.0,0.0,0.0,2
134,6.1,2010-09-22,-74.001561,40.735996,-73.986623,40.74737,2
135,8.9,2009-06-02,-74.008055,40.711553,-73.997185,40.679587,1
136,9.0,2013-08-18,-73.978163,40.74563,-73.952042,40.773192,2
137,15.0,2014-09-23,-73.994126,40.750917,-73.949428,40.781336,1
138,15.0,2015-01-14,-73.98861694,40.74912643,-73.95635986,40.74752045,4
139,12.9,2009-09-03,-74.010698,40.710985,-73.991138,40.750717,1
140,7.5,2014-04-21,-73.976543,40.788207,-73.954575,40.777842,1
141,9.5,2015-04-06,-74.0065918,40.74441147,-73.9863739,40.74319077,2
142,5.3,2011-09-13,-73.965744,40.754379,-73.9672,40.765067,1
143,8.0,2015-02-10,-73.99436951,40.7466774,-73.97766876,40.73911667,1
144,11.3,2009-12-01,-73.944435,40.778137,-73.980463,40.782295,3
145,38.54,2015-06-16,-73.86276245,40.7687912,-73.97873688,40.75304031,6
146,6.1,2009-09-04,-73.968942,40.785745,-73.963131,40.774204,1
147,18.0,2015-02-13,-73.98103333,40.75872803,-73.95498657,40.73442078,2
148,6.0,2015-04-04,-73.98799133,40.7493782,-73.98880768,40.75851822,1
149,12.5,2013-05-10,-73.991377,40.70255,-73.999735,40.734407,1
150,16.5,2010-04-13,-73.987152,40.750756,-73.90238,40.741637,1
151,5.5,2013-01-30,-73.974978,40.762812,-73.981365,40.756102,1
152,13.7,2011-10-19,-73.992956,40.754508,-73.999118,40.722575,1
153,8.9,2010-11-15,-74.00662,40.704113,-74.009975,40.735007,1
154,4.0,2015-02-10,-73.94662476,40.77677917,-73.95352936,40.77990723,5
155,4.9,2010-05-24,-73.976452,40.780742,-73.980342,40.770673,2
156,4.9,2010-06-01,-73.968681,40.754807,-73.97859,40.756029,1
157,8.5,2012-09-19,-73.958542,40.780734,-73.975443,40.777022,2
158,3.7,2011-02-14,-73.980351,40.780344,-73.980011,40.785561,1
159,6.5,2014-06-24,-74.015122,40.715795,-74.008495,40.72814,5
160,4.9,2009-09-08,-73.97647,40.735987,-73.981563,40.728817,1
161,9.3,2012-01-12,-73.954282,40.764102,-73.973425,40.782708,1
162,29.0,2012-10-16,-73.8709,40.7738,-73.981742,40.767455,1
163,6.5,2010-01-29,-73.985129,40.778954,-73.980585,40.765687,1
164,8.2,2009-01-26,-73.98349,40.765833,-73.961351,40.768866,1
165,11.0,2013-05-30,-73.988536,40.753911,-73.989873,40.726236,3
166,4.5,2014-01-22,-73.992937,40.75778,-73.992937,40.75778,1
167,4.5,2013-06-08,-73.992667,40.753087,-73.986788,40.761582,5
168,9.0,2014-04-19,-73.997222,40.763667,-74.010617,40.730022,3
169,14.5,2010-07-14,0.001782,0.00738,0.000875,0.00567,1
170,5.0,2013-10-14,-73.97274,40.798322,-73.961262,40.806462,1
171,7.3,2012-06-26,-73.989391,40.752278,-73.972785,40.74995,1
172,9.5,2015-02-26,-73.98402405,40.72166061,-74.01074982,40.71681213,1
173,7.5,2015-02-18,-74.00408173,40.74240112,-73.98440552,40.74317169,1
174,7.7,2010-11-13,-73.974445,40.764015,-73.983595,40.744184,2
175,9.7,2009-05-26,-74.007912,40.73873,-73.977505,40.761727,1
176,15.0,2015-01-16,-74.00211334,40.75183868,-73.99172211,40.7264595,1
177,8.0,2013-05-16,-73.995759,40.759149,-73.991388,40.750227,3
178,13.7,2010-10-06,-73.985623,40.763017,-74.009812,40.719408,5
179,6.0,2015-01-10,-73.98212433,40.75581741,-73.9708252,40.75574875,1
180,7.7,2011-06-17,-73.977147,40.789653,-73.954115,40.773782,5
181,10.5,2011-09-14,-73.981387,40.758807,-73.947467,40.779305,1
182,22.0,2013-01-30,-73.983363,40.744282,-73.973965,40.795451,1
183,7.5,2014-03-25,-73.97287,40.76444,-73.98842,40.76914,1
184,11.5,2015-02-25,-73.96995544,40.78917694,-73.94616699,40.77772903,5
185,4.5,2012-03-02,-73.98613,40.763425,-73.977522,40.765007,5
186,8.1,2011-05-05,-73.96494,40.775277,-73.975652,40.791703,1
187,14.5,2012-01-25,-73.954252,40.7665,-73.989683,40.736847,1
188,18.0,2012-11-17,-73.965344,40.806353,-73.976358,40.750622,1
189,8.1,2010-09-10,-73.982563,40.727365,-73.953233,40.777548,1
190,4.5,2011-09-13,-73.995027,40.744631,-74.000213,40.7352,1
191,3.3,2011-10-08,-74.001113,40.741735,-73.998253,40.745095,3
192,19.7,2012-05-13,-73.963411,40.798469,-74.000779,40.729345,1
193,8.1,2012-04-14,-73.981785,40.763397,-74.004152,40.742437,1
194,6.5,2010-09-24,-73.972497,40.75278,-73.95885,40.763898,3
195,14.5,2014-05-28,-74.005477,40.738575,-73.972722,40.756735,5
196,24.0,2009-05-12,-73.981558,40.783752,-73.900931,40.893366,1
197,10.5,2012-08-07,-73.96593,40.805358,-73.949923,40.778868,1
198,8.9,2009-09-24,-73.95208,40.790119,-73.963637,40.79809,1
199,14.1,2011-04-03,-74.00019,40.718336,-73.956801,40.764745,1
200,6.1,2012-03-22,-73.965017,40.764308,-73.981057,40.760887,1
201,7.3,2011-04-22,-73.984784,40.736512,-73.976727,40.751746,1
202,23.0,2012-11-14,-73.863088,40.769212,-73.95195,40.729382,1
203,5.3,2009-11-16,-74.00921,40.706383,-74.009173,40.716762,1
204,45.0,2010-11-13,-73.971663,40.757812,-73.789273,40.64179,1
205,20.1,2011-06-08,-73.990166,40.756562,-73.923268,40.825475,2
206,5.7,2011-11-04,-74.001563,40.739345,-74.008126,40.723898,1
207,3.7,2009-03-24,-73.974302,40.761193,-73.971943,40.759643,5
208,5.5,2013-09-03,-73.985698,40.748747,-73.974357,40.744135,1
209,6.1,2010-05-15,-73.978788,40.755519,-73.975802,40.765463,1
210,8.5,2011-01-16,-73.959753,40.777137,-73.966547,40.804235,1
211,4.1,2010-05-26,-73.959427,40.774613,-73.952647,40.780213,5
212,8.0,2015-05-01,-73.99208069,40.75920868,-73.98408508,40.78045654,1
213,9.5,2013-09-21,-73.995559,40.695197,-73.974702,40.687741,1
214,17.5,2009-02-17,-73.97411,40.750564,-73.88238,40.755801,1
215,4.1,2009-05-11,-73.959091,40.799481,-73.967406,40.802026,1
216,15.7,2011-06-07,-73.9773,40.7519,-74.0125,40.7015,1
217,5.3,2009-05-31,-73.934317,40.797407,-73.917871,40.807013,1
218,9.7,2010-06-16,-74.012526,40.707816,-73.987547,40.744759,2
219,8.9,2012-03-03,-74.007392,40.733257,-73.987243,40.729388,4
220,9.5,2013-12-19,-73.978083,40.788452,-73.979435,40.771332,1
221,29.5,2014-01-21,-73.99119,40.750195,-74.006843,40.705932,3
222,18.0,2015-04-07,-73.99681854,40.73598862,-73.96781921,40.79391861,1
223,23.7,2009-08-05,-73.953172,40.787591,-74.014671,40.709887,1
224,6.0,2014-03-19,-73.993362,40.733317,-73.995473,40.740992,1
225,24.0,2014-04-13,-73.97833,40.76347,-73.96477,40.80675,1
226,49.8,2012-07-29,-73.992122,40.748577,-73.806072,40.665272,1
227,3.7,2009-03-01,-73.983436,40.746818,-73.988475,40.73988,1
228,4.9,2012-06-02,-73.982445,40.775478,-73.988803,40.763712,1
229,7.7,2011-12-09,-73.97313,40.764152,-73.987082,40.748315,1
230,7.3,2009-02-18,-73.993193,40.749672,-74.007682,40.731123,5
231,4.1,2011-10-11,-73.962199,40.776363,-73.971793,40.765764,1
232,7.0,2014-08-20,-73.97203,40.75652,-73.98601,40.75225,2
233,9.7,2011-11-15,-73.98963,40.735626,-73.985599,40.763121,1
234,4.5,2012-02-02,-73.992378,40.728833,-73.988072,40.73502,1
235,12.5,2015-05-07,-73.98022461,40.73517609,-74.01091766,40.70179749,1
236,7.3,2012-03-03,-73.968164,40.800219,-73.95713,40.786022,1
237,4.1,2011-06-17,0.0,0.0,0.0,0.0,5
238,4.0,2012-10-09,-73.934953,40.800987,-73.941032,40.798385,5
239,7.7,2011-01-25,-73.975506,40.75789,-73.96085,40.774992,1
240,12.9,2011-01-14,-73.992457,40.72877,-73.9608,40.7782,1
241,8.0,2013-11-10,-73.975213,40.757695,-73.99458,40.750235,2
242,6.5,2012-08-12,-73.999166,40.739403,-73.988351,40.743763,1
243,11.5,2015-01-31,-73.97068024,40.7580719,-74.00410461,40.74281311,1
244,7.3,2009-03-07,-73.961613,40.77709,-73.96409,40.799774,1
245,7.3,2010-03-31,-73.992758,40.737167,-73.970655,40.756222,5
246,14.1,2010-06-08,-73.982623,40.772747,-74.004793,40.729552,1
247,4.5,2012-06-10,-73.977202,40.790112,-73.981512,40.781237,1
248,5.5,2014-10-04,-73.968895,40.764276,-73.978191,40.759646,2
249,8.9,2009-08-06,-73.98778,40.738603,-73.964832,40.770175,1
250,15.0,2013-03-05,-73.96563,40.761996,-73.964498,40.792631,2
251,4.1,2012-04-03,-73.983534,40.752177,-73.979711,40.744552,1
252,10.5,2015-03-10,-73.98123932,40.75287628,-73.9952774,40.72617722,6
253,8.5,2012-09-12,-73.968162,40.79208,-73.954524,40.778969,1
254,8.1,2011-09-01,-73.96973,40.756707,-73.988013,40.764767,1
255,9.7,2009-08-01,-73.983922,40.755333,-73.996402,40.727303,1
256,4.9,2009-09-30,-73.978252,40.754508,-73.985235,40.762977,3
257,8.0,2012-12-12,-73.970091,40.758928,-73.960977,40.770837,1
258,13.7,2012-03-08,-74.002136,40.750918,-73.95666,40.788512,2
259,10.5,2015-04-07,-73.98741913,40.73284912,-73.97187042,40.74716949,2
260,10.5,2009-07-23,-73.969433,40.757445,-73.992628,40.737392,1
261,12.0,2014-09-18,-73.959571,40.76283,-73.975622,40.760601,1
262,5.0,2014-09-13,-73.988312,40.724045,-73.981047,40.73623,1
263,7.3,2010-07-31,-73.982333,40.76893,-73.993554,40.747,1
264,17.0,2014-06-18,-73.984753,40.737152,-73.944553,40.700412,2
265,7.0,2013-09-10,-74.002865,40.733287,-74.0095,40.715502,1
266,7.3,2011-02-14,-73.961983,40.810355,-73.976615,40.786607,2
267,7.7,2010-02-14,-73.983361,40.761332,-73.972963,40.780317,1
268,24.0,2013-06-24,-73.989998,40.76197,-73.990757,40.70026,1
269,4.9,2012-05-14,-73.986022,40.76803,-73.976668,40.760718,1
270,13.0,2012-11-04,-73.993753,40.762232,-73.988392,40.727412,1
271,5.5,2014-02-02,-73.982129,40.772748,-73.977427,40.784339,1
272,5.7,2011-03-11,-73.980482,40.785602,-73.968586,40.799888,3
273,9.3,2012-08-21,-73.983086,40.735028,-74.008471,40.720085,1
274,6.5,2009-05-15,-73.995037,40.739985,-73.978383,40.762292,2
275,5.0,2015-04-15,-73.99124146,40.74974442,-73.98625183,40.74415588,1
276,17.0,2013-09-13,-73.952872,40.791805,-74.003257,40.732767,1
277,5.5,2013-01-11,-73.945415,40.77833,-73.955122,40.77777,1
278,4.9,2010-03-09,-73.982557,40.771522,-73.989135,40.774365,2
279,23.0,2013-10-25,-73.962038,40.810655,-73.969157,40.756785,1
280,7.5,2014-11-03,-73.980421,40.720552,-73.984562,40.729687,1
281,4.9,2012-03-20,-73.98611,40.74594,-73.991732,40.735342,1
282,9.5,2015-02-24,-73.98890686,40.6922226,-74.00469971,40.71613312,1
283,14.0,2014-11-02,-73.993047,40.742667,-73.972472,40.764817,1
284,16.9,2012-02-19,-74.000457,40.742486,-73.923371,40.761095,1
285,6.1,2009-03-26,-73.983981,40.780489,-73.96794,40.797363,1
286,7.5,2013-05-16,-73.990973,40.7508,-74.005892,40.73016,1
287,12.5,2014-09-03,-73.962456,40.77,-73.987907,40.741126,1
288,4.0,2015-06-02,-73.96253204,40.7673912,-73.95326233,40.76465988,2
289,6.5,2009-04-05,-73.984693,40.759112,-73.994667,40.740517,2
290,19.5,2014-03-05,-73.992405,40.724391,-73.970332,40.783869,1
291,7.3,2010-01-01,-73.988247,40.724833,-74.006518,40.738588,1
292,9.0,2013-03-27,-74.003345,40.726957,-74.0045,40.747265,5
293,9.3,2009-06-05,-73.993808,40.75174,-73.981047,40.767624,1
294,3.5,2014-12-08,-73.953837,40.775171,-73.956403,40.771586,1
295,11.7,2009-03-03,-73.98865,40.76403,-74.010412,40.720292,1
296,7.3,2011-09-12,-74.000756,40.725835,-74.006186,40.743811,2
297,5.5,2013-11-27,-74.016038,40.715462,-74.01128,40.72159,5
298,15.0,2014-03-10,-74.006209,40.714462,-73.990402,40.66524,1
299,6.5,2014-03-20,-74.004083,40.742094,-73.985253,40.735788,1
300,9.3,2009-08-14,-73.987011,40.776157,-73.994649,40.75044,1
301,15.0,2012-12-31,-73.97685,40.764368,-73.911379,40.747178,1
302,6.5,2012-04-05,-73.970823,40.798273,-73.955982,40.787948,1
303,5.0,2013-05-21,-73.97303,40.752042,-73.977175,40.745387,5
304,13.5,2013-06-18,-73.973317,40.750867,-73.991122,40.747067,1
305,6.5,2009-08-25,-73.983035,40.744606,-73.975354,40.761604,1
306,5.7,2009-02-11,-73.970607,40.763045,-73.95798,40.776922,1
307,34.25,2009-03-03,-73.862659,40.769994,-73.986561,40.74296,2
308,4.5,2013-07-24,-73.984958,40.670825,-73.98461,40.664137,1
309,7.7,2011-08-25,-73.975358,40.777341,-73.953388,40.788407,1
310,39.33,2013-12-09,-73.98331,40.76596,-73.865664,40.770846,2
311,5.7,2011-08-25,-73.971488,40.754987,-73.980705,40.746197,1
312,7.7,2009-01-31,-73.981137,40.740717,-73.979165,40.765022,1
313,10.0,2012-12-18,-73.98679,40.761328,-73.961224,40.760216,1
314,6.9,2009-04-03,-73.992077,40.729163,-73.97976,40.74491,1
315,45.0,2011-10-23,-73.959275,40.759352,-73.78991,40.646942,1
316,17.7,2010-03-10,0.0,0.0,0.0,0.0,1
317,7.3,2009-06-02,-73.990793,40.750895,-73.974758,40.741923,5
318,4.5,2014-01-25,-73.956615,40.767603,-73.965367,40.769688,2
319,18.5,2012-09-15,-73.971212,40.76246,-74.005497,40.709082,1
320,8.9,2012-03-30,-73.988975,40.748182,-74.00151,40.724912,2
321,4.9,2009-10-22,-74.00435,40.751103,-74.004582,40.752137,2
322,19.3,2011-05-20,-73.995176,40.750516,-73.971411,40.680955,1
323,6.5,2014-08-04,-73.987447,40.733067,-74.002172,40.740632,1
324,6.5,2015-04-08,-73.9850769,40.73244858,-73.99611664,40.73833847,2
325,10.5,2012-12-12,-73.982832,40.770589,-73.980315,40.754798,1
326,16.0,2013-08-31,-73.962799,40.711994,-73.983766,40.679293,1
327,13.3,2009-04-18,-73.99276,40.753425,-73.953695,40.799692,1
328,15.5,2014-03-24,-73.973638,40.757932,-73.997785,40.724342,1
329,11.7,2011-09-11,-73.996488,40.715461,-73.962013,40.675299,4
330,11.7,2010-09-01,-73.86279,40.768853,-73.910578,40.781952,2
331,6.1,2011-11-27,-73.96678,40.757327,-73.982874,40.739181,1
332,15.0,2013-01-27,-73.977737,40.78684,-74.00841,40.736417,1
333,10.1,2011-08-05,-74.0139,40.7078,-73.9923,40.7493,0
334,12.5,2014-10-04,-73.99692,40.72064,-73.98808,40.74819,1
335,3.5,2014-03-06,-73.97252,40.753437,-73.968294,40.760745,1
336,6.1,2011-02-19,-73.987862,40.738565,-73.999763,40.72195,1
337,4.5,2013-02-03,-73.965141,40.791169,-73.970858,40.795761,1
338,12.5,2013-09-04,-74.00157,40.746642,-73.983258,40.775935,1
339,35.7,2010-02-28,-73.786907,40.640095,-73.926152,40.752918,2
340,8.5,2012-04-14,-73.974902,40.763257,-73.989848,40.752,5
341,8.5,2011-08-08,-73.948065,40.71932,-73.981378,40.725583,1
342,4.0,2014-04-18,-73.979315,40.776897,-73.986242,40.780575,1
343,3.3,2012-02-16,-73.996055,40.725228,-73.994737,40.719624,1
344,15.7,2011-10-27,-73.977711,40.751507,-74.010709,40.709197,1
345,8.9,2009-04-22,-73.962483,40.773237,-73.982075,40.779066,1
346,15.5,2015-03-05,0.0,0.0,-73.97980499,40.78602982,1
347,4.5,2011-12-27,-73.95896,40.759771,-73.968562,40.757476,1
348,29.3,2013-02-03,-73.93961,40.841325,-73.91253,40.76911,1
349,5.7,2009-12-30,-73.98522,40.723707,-73.99152,40.735177,2
350,10.5,2013-01-04,-73.971685,40.762707,-73.995203,40.759983,1
351,10.0,2015-05-05,-73.98944855,40.73759079,-73.97264862,40.75937271,1
352,9.3,2010-07-01,-73.994087,40.751154,-73.982028,40.758136,4
353,7.3,2009-09-01,-73.98158,40.763143,-74.000254,40.759134,3
354,8.0,2014-10-06,-74.015043,40.714613,-74.007943,40.705562,1
355,10.5,2014-07-06,-73.973467,40.757442,-73.997367,40.724577,2
356,10.9,2010-07-03,-74.007169,40.713268,-73.986911,40.725255,1
357,4.0,2013-05-01,-73.989765,40.75674,-73.9832,40.761088,1
358,5.3,2010-12-05,-73.968733,40.786187,-73.980648,40.774107,1
359,11.0,2013-03-28,-73.990382,40.756108,-73.988758,40.739479,3
360,8.5,2012-08-10,-73.966798,40.804314,-73.982236,40.775824,1
361,10.1,2009-08-24,-73.928705,40.753475,-73.928705,40.753475,1
362,7.7,2011-04-14,-74.005559,40.745773,-73.976892,40.736789,2
363,5.0,2009-01-27,-73.97785,40.726059,-73.979853,40.727001,1
364,6.9,2009-10-27,-73.955365,40.76489,-73.957835,40.767198,1
365,8.5,2011-07-20,-73.985763,40.767742,-73.97381,40.753972,1
366,49.8,2011-04-25,-73.789747,40.648142,-73.985225,40.744325,1
367,6.9,2011-05-27,-73.969563,40.790342,-73.99117,40.760643,2
368,10.0,2013-12-08,-73.97529,40.762167,-73.978365,40.750115,2
369,8.1,2011-12-08,-73.978615,40.753807,-73.96386,40.771023,1
370,7.7,2011-10-21,-73.991653,40.684999,-73.968497,40.674008,2
371,6.5,2009-03-15,-73.974151,40.747188,-73.99212,40.738022,2
